license,name,municipality,county,county_source,address,city,zip,lat,lon,status
120705442,"The No Problem Pub, Inc.",Tonica,La Salle,igb_licensee_list,204 S LaSalle St,Tonica,61370,,,needs_coordinates
180700656,"The Nubby Eagle, LLC",Cahokia Heights,,,,,,,,needs_address_and_coordinates
230701544,The Office Gaming LLC,Columbia,Monroe,igb_licensee_list,310 Southport Dr,Columbia,62236,,,needs_coordinates
120700600,"THE OFFICE PUB, INC.",Effingham,Effingham,igb_licensee_list,105 EAST JEFFERSON STREET,Effingham,62401,,,needs_coordinates
120705591,"The Office Sports Bar & Grill, Inc.",Springfield,Sangamon,igb_licensee_list,1919 West Iles,Springfield,62704,,,needs_coordinates
250700020,The Old Fashion Inc,Springfield,Sangamon,igb_licensee_list,242 S Dirksen Pkwy,Springfield,62703,,,needs_coordinates
120701462,"The Outpost Pub & Grill, Inc.",Lockport,Will,igb_licensee_list,14929 s. Archer,Lockport,60441,,,needs_coordinates
220700457,THE OUTSKIRTS LLC,Loraine,,,,,,,,needs_address_and_coordinates
210701955,"The Pasta Boys, Inc.",Springfield,Sangamon,igb_licensee_list,518 N Bruns Lane,Springfield,62702,,,needs_coordinates
150703614,The Patroons Mexican Restaurant Inc.,McHenry,McHenry,igb_licensee_list,4005 W Kane Ave.,McHenry,60050,,,needs_coordinates
210700962,"The People's Choice Entertainment, Inc",Waukegan,,,,,,,,needs_address_and_coordinates
140702763,"The Pines Supper Club, Inc.",La Salle County,La Salle,igb_licensee_list,1555 Illinois Rt. 23,Streator,61364,,,needs_coordinates
130700155,"THE PINK TAVERN, INC.",Lomax,Henderson,igb_licensee_list,1010 SECOND ST,Lomax,61454,,,needs_coordinates
160702472,The Pizza Join Biz LLC,Antioch,Lake,igb_licensee_list,311 W Depot Street #G,Antioch,60002,,,needs_coordinates
130704970,"The Precinct,Inc",Sterling,Whiteside,igb_licensee_list,113 E 3rd,Sterling,61081,,,needs_coordinates
120703719,"THE PUB AT MIDTOWN, INC.",Manteno,Kankakee,igb_licensee_list,71 West 1st,Manteno,60950,,,needs_coordinates
140700635,"The Pump, LLC",Hoopeston,Vermilion,igb_licensee_list,1023 W MAIN,Hoopeston,60942,,,needs_coordinates
220703173,The Quarter Group LLC,Belleville,,,,,,,,needs_address_and_coordinates
120701180,"The Right Stop Too, Inc.",Ashkum,Iroquois,igb_licensee_list,106 E. Main,Ashkum,60911,,,needs_coordinates
240702570,THE ROADSIDE GRILL LLC,Winchester,,,,,,,,needs_address_and_coordinates
130705296,"THE ROOKIES, INC.",Lake County,Lake,igb_licensee_list,26440 WOOSTER LAKE DRIVE,Ingleside,60041,,,needs_coordinates
220702710,The Roseberry Group Inc.,Springfield,Sangamon,igb_licensee_list,1130 West Legacy Pointe Drive,Springfield,62711,,,needs_coordinates
220700901,"The Ruffin Group, L.L.C.",Peoria,Peoria,igb_licensee_list,301 Macarthur Highway,Peoria,616053818,,,needs_coordinates
120712217,"The Sidney Shadow, LLC",Sidney,Champaign,igb_licensee_list,204 South David,Sidney,61877,,,needs_coordinates
150703856,"THE SIXTH ROOM, LLC",Southern View,Sangamon,igb_licensee_list,"3325 S 6TH ST ROAD, STE 6",Southern View,62703,,,needs_coordinates
250701568,The Sling'n Beaver LLC,Effingham County,Effingham,igb_licensee_list,483 E US Highway 40,Altamont,62411,,,needs_coordinates
230702341,"THE SPORTS ACADEMY, LLC",Glen Carbon,,,,,,,,needs_address_and_coordinates
140700936,"The Sportsman Lounge, Inc.",Dixmoor,Cook,igb_licensee_list,14348 Paulina,Dixmoor,60426,,,needs_coordinates
240702492,THE STATION INC.,Clinton County,Clinton,igb_licensee_list,2443 Wittenburg Rd.,New Baden,62265,,,needs_coordinates
120705657,"The Sweet Spot, Inc.",North Riverside,Cook,igb_licensee_list,2531 s. Des Plaines Ave.,North Riverside,60546,,,needs_coordinates
240702534,THE TEE BOX 36 LLC,Quincy,Adams,igb_licensee_list,830 S.36TH STREET,Quincy,62305,,,needs_coordinates
230701986,THE TEE BOX LLC,Spring Valley,Bureau,igb_licensee_list,221-223 EAST ST. PAUL STREET,Spring Valley,61362,,,needs_coordinates
240700265,THE THIRSTY ROOSTER INC.,Middletown,Logan,igb_licensee_list,104 S MADISON,Middletown,62666,,,needs_coordinates
120700642,"THE TOY BAR, INC.",Sullivan,Moultrie,igb_licensee_list,13 WEST JEFFERSON,Sullivan,61951,,,needs_coordinates
120702097,"The Triangle Bar & Grill, LLC",Woodson,Morgan,igb_licensee_list,101 S. Commercial St.,Woodson,62695,,,needs_coordinates
120711241,"THE TROPICS, INC.",Winthrop Harbor,Lake,igb_licensee_list,301 NorthPoint Drive,Winthrop Harbor,60096,,,needs_coordinates
